token,chain,contract,eventId,eventDate,window,date,label,return_1d,return_3d,return_7d,return_14d,return_30d,relative_return_vs_btc_7d,relative_return_vs_eth_7d,distance_to_30d_high,distance_to_60d_high,volatility_7d,volatility_30d,volatility_compression_score,atr_14,volume_1d,volume_7d_avg,volume_30d_avg,volume_zscore_7d,volume_zscore_30d,rsi_14,data_quality_score
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T+14,2025-09-26,post_breakout,0.009980247426967329,-0.053948777875158255,-0.17061510223246693,-0.2654619688492364,-0.09175898658439682,-0.11373256332175152,-0.06404844972014492,-0.2654619688492364,-0.3632222331465278,0.10111227262668575,0.30834243642798753,0.6720779864165722,0.0000016478588570847063,141810107185,202565556171.125,265997518254.96774,-0.4475958572054373,-0.8763053969308782,39.13226469390758,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2025-09-12,2025-09-12,T+30,2025-10-12,post_breakout,0.08027934818756251,-0.09801743766313087,-0.24300894854586122,-0.1557334442249714,-0.3859821563586874,-0.15770721206308286,-0.12802335036738116,-0.3859821563586874,-0.3859821563586874,0.23350682025789246,0.3415016247841261,0.31623511189588205,0.0000024346573085797202,386769001664,564004115893.875,326168203397.2258,0.6901652919785208,0.17585471929311305,37.56592837583,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T-30,2025-12-04,pre_breakout,-0.062317527433806544,-0.04157233998765194,-0.08326771653543308,0.04381934327020043,-0.23749488334015564,-0.06269408902192822,-0.09390961392294651,-0.2959939531368104,-0.5659023117076809,0.15415316626669442,0.26567514399702685,0.41976820282284466,8.58411942954968e-7,304894343453,295125355257.25,340127468885.80646,-0.2580370283516031,-0.20202275522569263,39.470617133885284,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T-14,2025-12-20,pre_breakout,-0.03843829324308002,-0.043180178012990275,-0.12235216240070618,-0.14737406216505908,-0.10848369382494694,-0.11160719201508472,-0.08672309374909944,-0.21702755905511814,-0.4787708033023196,0.055854045865130854,0.22644674624517172,0.753345778681853,7.482645303744978e-7,145679975570,334207883406.625,354961681064.6129,-0.11928400384198905,-1.2028622507393998,32.91209841224321,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T-7,2025-12-27,pre_breakout,0.017446270543615593,0.014240705734089533,0.01169076052796991,-0.1120917917034422,-0.20787401574803147,0.014323860375706668,0.020232913244582852,-0.20787401574803147,-0.4459589701225389,0.057830223414778156,0.20281927141284886,0.7148682025532879,5.891792467851289e-7,116195134865,168110231566.25,289231505842.3871,-0.9618367807975992,-1.3741000250901352,38.154876136226896,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T-3,2025-12-31,pre_breakout,0.020114942528735708,-0.005095541401273837,-0.015752993068683007,-0.06062063988453218,-0.1963366947931674,-0.011983490618110274,-0.025486224183951942,-0.21483864481753293,-0.4326189611333091,0.04262182816871401,0.14954307598728148,0.7149862814622125,5.266257149997417e-7,203343706393,171720910172.75,281965836755.35486,-0.8933225764778953,-0.6370807822240585,37.01348864285055,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T+0,2026-01-03,breakout,0.3222660530352837,0.5450704225352113,0.49937872763419483,0.5169076052796985,0.295576551427958,0.45960491366503303,0.43619656267700224,0,-0.08790627362055937,0.26782623256658866,0.33322138211010827,0.1962513603701178,8.16099378955697e-7,1605688015693,437132464365,331965572985.9355,0.39333761766420217,4.763884760784697,77.35236818357777,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T+3,2026-01-06,post_breakout,-0.03202341137123756,-0.040606613076986854,0.5121473354231976,0.464145693689136,0.21390374331550793,0.47346406747163694,0.45225383954269655,-0.040606613076986854,-0.12494331065759644,0.26738188426872295,0.3350523344307466,0.20196979160582673,9.037862010078959e-7,678800104424,812578615246.125,419944333245,1.024404146961758,0.6753687531034076,69.83470256607667,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T+7,2026-01-10,post_breakout,-0.017338331771321377,-0.06675567423230971,-0.13110135079141455,0.30280815109343945,0.1595885865958858,-0.12608782335497057,-0.12552345317087096,-0.13110135079141455,-0.15972110915210766,0.039019957568776756,0.3310337751816301,0.8821269595606447,8.777651417895282e-7,232927768233,844094077403.625,425760901959.4194,1.0934850719321976,-0.5040483649900432,57.20128007648467,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T+14,2026-01-17,post_breakout,-0.03527866391443042,-0.03246447727486584,-0.019360991893180694,-0.14792409049473762,0.2679738562091505,-0.06600638391518888,-0.08860508284600463,-0.14792409049473762,-0.14792409049473762,0.10008588047798597,0.3361642714468391,0.7022709163968559,8.856729104137136e-7,150028480999,383749325994.875,435623928949.0645,-0.13449748750802767,-0.7404754543747526,51.718119678260436,0.4
BONK,Solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,event_2026-01-03,2026-01-03,T+30,2026-02-02,post_breakout,0.0024660912453761483,-0.004218835057158324,-0.15760994704121564,-0.19434045364457167,-0.3936355349299743,-0.045105133827965715,0.05830780895006968,-0.3936355349299743,-0.3936355349299743,0.11166425597818273,0.19954438521811035,0.44040391887685026,7.231093028037192e-7,305110908362,279284994907,446650390620.871,-0.444450596260963,-0.37586806410071744,30.827508877592948,0.4
