token,timeframe,timestamp,close,volume,return_3,vol_zscore_7,range_3,volatility_7,compression,expansion
WIF,hour,2026-04-25T21:00:00.000Z,0.177271531217858,6755.482514708076,-0.009765727212137454,-0.1473985836532313,0.007821094472394497,0.005477482494210531,true,false
WIF,hour,2026-04-25T20:00:00.000Z,0.17667451381021176,6858.765766672736,-0.009577086936061928,-0.1618656249483792,0.011226717186259385,0.00561421944751571,true,false
WIF,hour,2026-04-25T19:00:00.000Z,0.17635615750643527,1042.250451506016,-0.012884008838576759,-0.22816963361545065,0.005190483419266613,0.00538545792680031,true,false
WIF,hour,2026-04-25T18:00:00.000Z,0.17778187107609347,6455.309761000691,0.0028788596495412377,-0.2162990349742113,0.00808428574208519,0.006079918272429224,true,false
WIF,hour,2026-04-25T17:00:00.000Z,0.17651894522882008,6648.278872273989,-0.000880537764257245,-0.23433580507373067,0.00808428574208519,0.005425602838478728,true,false
WIF,hour,2026-04-25T16:00:00.000Z,0.17688732159391354,7045.82735538794,0.003011882856763269,-0.16696585312048132,0.00715461927124178,0.005314458294580062,true,false
WIF,hour,2026-04-25T15:00:00.000Z,0.17714207864543566,2008.7443607274304,-0.003598749561950407,-0.1681484954087483,0.0035301220263230697,0.005310381761322612,true,false
WIF,hour,2026-04-25T14:00:00.000Z,0.17781042193779498,1820.3837336559038,0.00731636316600896,-0.20481234064170603,0.005218578333164133,0.004642782255411405,true,false
WIF,hour,2026-04-25T13:00:00.000Z,0.17839730009798807,10067.670489539445,0.00853638627386217,-0.19638814800447785,0.007085958695702343,0.004634737030393433,true,false
WIF,hour,2026-04-25T12:00:00.000Z,0.1779854750774515,3864.605541757058,0.004761129814356322,-0.17245987795969947,0.003300583586705659,0.0046668135624592134,true,false
WIF,hour,2026-04-25T11:00:00.000Z,0.17949329007018724,3628.4504509280005,0.009464395360250597,-0.19191491806231134,0.008471562031000652,0.00476275580144957,true,false
WIF,hour,2026-04-25T10:00:00.000Z,0.18002042896562834,2156.264221227677,0.009098393679437596,-0.22120274572333548,0.01143325817621534,0.004080647742113668,true,false
WIF,hour,2026-04-25T09:00:00.000Z,0.17996852164224472,2119.9114801223736,0.011141620202043415,-0.2599454112396446,0.002936816720195867,0.004005334131456987,true,false
WIF,hour,2026-04-25T08:00:00.000Z,0.17867343903108435,1014.3385838328878,-0.004567586001584302,-0.26612060326798354,0.007538837008166898,0.0048164528321117586,true,false
WIF,hour,2026-04-25T07:00:00.000Z,0.1782439671879117,9645.46464283864,-0.0098681121244069,-0.21368276435871258,0.00967524725543693,0.004690379954348963,true,false
WIF,hour,2026-04-25T06:00:00.000Z,0.17882660494940447,9803.79450835271,-0.006345091254959799,-0.21503343435141198,0.0032687656737270844,0.004687211348485681,true,false
WIF,hour,2026-04-25T05:00:00.000Z,0.17978179761291016,6442.166407624417,0.006203264390254385,-0.20473250745906282,0.008627671664069452,0.0050260418394091465,true,false
WIF,hour,2026-04-25T04:00:00.000Z,0.18002855515072017,5736.172666492231,0.010012052530939767,-0.19447086123206053,0.00672131644872284,0.003919637195011034,true,false
WIF,hour,2026-04-25T03:00:00.000Z,0.18043095320347488,5081.533741670298,0.008971530016600877,-0.1656916459906182,0.003610797083931842,0.0038532025661091904,true,false
WIF,hour,2026-04-25T02:00:00.000Z,0.17953247861397725,10878.125308335246,-0.001386786661626991,-0.11420924191524617,0.005004523952624125,0.004288981201123673,true,false
WIF,hour,2026-04-25T01:00:00.000Z,0.17886075655345654,8792.529447866971,-0.006486740929992703,-0.06257705316386286,0.008778877380791198,0.0035987910701259034,false,false
WIF,hour,2026-04-25T00:00:00.000Z,0.1780801458116293,2995.1846538127566,-0.013028847601301262,-0.11071459572051913,0.008155500972490353,0.0038544694182942787,true,false
WIF,hour,2026-04-24T23:00:00.000Z,0.17884402220636456,5746.128617701558,-0.0038347178901984966,-0.1383831590219149,0.004383479911640305,0.003994099303727356,true,false
WIF,hour,2026-04-24T22:00:00.000Z,0.17813612401786516,12349.575389061218,-0.00405137800798023,0.456524514838947,0.004289509036809116,0.0037610770102237258,false,false
WIF,hour,2026-04-24T21:00:00.000Z,0.18038609158555247,6190.321551484711,0.012948921191710932,0.4950057965593581,0.012630608081837785,0.006031808030480207,false,false
WIF,hour,2026-04-24T20:00:00.000Z,0.17991533259535972,9413.872430899264,0.005990194001334849,0.741684401140466,0.012630608081837785,0.0060536002674635644,false,false
WIF,hour,2026-04-24T19:00:00.000Z,0.18026987701863478,7607.43987155484,0.011978216167741642,0.5574994655304601,0.0026165584856045255,0.005799972140375735,false,false
WIF,hour,2026-04-24T18:00:00.000Z,0.18013369605008156,3476.928343609569,-0.0013991962088230152,0.358172764154344,0.001970618168894241,0.005631510935253743,false,false
WIF,hour,2026-04-24T17:00:00.000Z,0.17963070314347437,3412.4229416684925,-0.0015820188739860861,0.3729316363910259,0.0035582662873055127,0.005486155865540799,false,false
WIF,hour,2026-04-24T16:00:00.000Z,0.18088305193295662,8740.805297739245,0.003401427484517836,0.44825981064374526,0.006971796956570223,0.005863120900154646,false,false
WIF,hour,2026-04-24T15:00:00.000Z,0.18200458052123691,3862.980569495038,0.010386088289862228,0.08695205705610189,0.013215320856738395,0.006130841029841005,false,false
WIF,hour,2026-04-24T14:00:00.000Z,0.18049409698380758,9453.044203218069,0.004806493685233761,0.20485792449800322,0.008368603531476369,0.005000314997542883,false,false
WIF,hour,2026-04-24T13:00:00.000Z,0.18019196058607256,2940.1845867613747,-0.003820652844469937,-0.10925272145685597,0.010059382945103777,0.004942531424328489,false,false
WIF,hour,2026-04-24T12:00:00.000Z,0.182878249096364,2900.8431302517033,0.004800255975014521,-0.2839646902160509,0.01490792653320549,0.00742680795952949,false,false
WIF,hour,2026-04-24T11:00:00.000Z,0.18121869860129483,729.3851077770635,0.004014544683709253,-0.33259656092626705,0.01490792653320549,0.008182153918017583,false,false
WIF,hour,2026-04-24T10:00:00.000Z,0.18076004100571322,4067.3797141176697,0.003152640205439678,-0.2734468369171464,0.011718342609713314,0.008169949960798315,false,false
WIF,hour,2026-04-24T09:00:00.000Z,0.1794686494211145,4410.851604155756,-0.01864409623395323,-0.4960600977088935,0.009751280715741682,0.008197337827602553,true,false
WIF,hour,2026-04-24T08:00:00.000Z,0.18127829070105442,3363.2411199244902,0.0003288407886136364,-0.542708878376636,0.010083328123195876,0.008724558579990308,true,false
WIF,hour,2026-04-24T07:00:00.000Z,0.17989395462439922,6576.173904437059,-0.004791359730254886,-0.6567534169544499,0.010083328123195876,0.008636620792603796,true,false
WIF,hour,2026-04-24T06:00:00.000Z,0.1807679478525755,7517.465753215923,0.007239695822373084,-0.4825918364775157,0.007695289591835105,0.008806016176537092,true,false
WIF,hour,2026-04-24T05:00:00.000Z,0.18055140550573653,6921.2651644664675,-0.004009775205331056,-0.3327930217119084,0.00485838020516634,0.006816790435106155,false,false
WIF,hour,2026-04-24T04:00:00.000Z,0.17949873735724187,4139.5218746274295,-0.0021969457949964446,-0.19839433615808852,0.007070860296959197,0.00628342215799266,false,false
WIF,hour,2026-04-24T03:00:00.000Z,0.17898904349934477,3278.7245290914925,-0.009840817326097533,-0.25257510619131596,0.008728813651643874,0.006302308907986874,false,false
WIF,hour,2026-04-24T02:00:00.000Z,0.18070519889847642,8630.415146767959,0.0008517983690522708,-0.13915417391666066,0.009588047209928376,0.00673671695427413,false,false
