token,sample_group,date,in_usd,out_usd,total_volume_usd,net_volume_usd,in_value,out_value,total_value,net_value,volume_zscore_7d,volume_zscore_30d,net_volume_zscore_7d,in_out_imbalance,volume_change_3d,volume_change_7d,volume_status
LAB,P0,2026-01-08,193792.30532796876,453443.1442955208,647235.4496234895,-259650.83896755203,1450552.064970312,3394060.915841592,4844612.980811904,-1943508.85087128,0.0883,-0.2413,-0.9135,-0.4012,0.4732,8.144,OK
LAB,P0,2026-01-25,41754.87618519654,106824.9709729222,148579.84715811873,-65070.094787725655,262918.5028001268,672646.2630447269,935564.7658448537,-409727.7602446001,-0.4854,-0.3203,-0.4373,-0.4379,0.1929,0.0397,OK
LAB,P0,2026-04-05,67244.73268634765,69928.85708262627,137173.58976897394,-2684.1243962786248,307764.6648711071,320049.32438705995,627813.9892581671,-12284.659515952866,-0.4972,-0.3212,-0.2841,-0.0196,-0.9522,-0.1434,OK
LAB,P0,2026-04-10,979883.5210260251,1576443.7146944331,2556327.2357204584,-596560.1936684081,2343562.9764540195,3770341.111924253,6113904.088378273,-1426778.1354702334,1.5573,0.0479,-1.2948,-0.2334,2.9496,26.5634,OK
LAB,P0,2026-04-19,178898.96998657085,711009.7520747836,889908.7220613544,-532110.7820882127,348620.84485322534,1385546.3812105798,1734167.2260638052,-1036925.5363573544,-0.0838,-0.2126,-0.9592,-0.5979,4.9894,1.0256,OK
LAB,P0,2025-12-29,80184.00529092608,42407.31916833102,122591.3244592571,37776.68612259506,743504.6760280961,393221.0667834784,1136725.7428115746,350283.6092446177,-0.7666,-0.3334,0.1158,0.3082,-0.1063,-0.0157,OK
LAB,P0,2026-02-04,38647.33736867504,82596.71029585591,121244.04766453095,-43949.37292718087,291194.52508043277,622338.0823979499,913532.6074783826,-331143.5573175171,-0.7672,-0.3052,-0.0289,-0.3625,-0.9526,-0.9578,OK
LAB,P0,2026-03-01,5251.910410858292,6371.43629065941,11623.346701517701,-1119.5258798011173,33101.4578936115,40157.54527363,73259.00316724149,-7056.0873800185,-0.7089,-0.3224,0.7697,-0.0963,-0.9869,-0.982,OK
LAB,P0,2026-03-05,5740570.448693354,5115868.377091686,10856438.82578504,624702.0716016674,30570723.446018483,27243947.050227318,57814670.4962458,3326776.3957911655,2.5754,1.3052,1.9766,0.0575,87.558,72.068,OK
LAB,P0,2026-03-11,102003.86827398738,125003.94945754843,227007.81773153582,-23000.08118356105,667315.649750992,817783.6112022899,1485099.260953282,-150467.96145129798,-0.4694,-0.3346,0.125,-0.1013,0.8723,0.6549,OK
LAB,P0,2025-10-13,0,0,0,0,2900000,0,2900000,2900000,-0.5282,-0.3658,0.1891,,-1,-1,ZERO_VOLUME
LAB,P0,2025-10-15,1076178.7576260073,1122216.261457372,2198395.0190833793,-46037.50383136468,8482598.251944976,8845472.58555969,17328070.837504666,-362874.33361471444,0.1131,-0.0357,-0.165,-0.0209,-0.7975,1.4704,OK
LAB,P0,2025-11-16,40446.31058258637,37756.776129210004,78203.08671179638,2689.5344533763637,367606.8436786428,343162.30826541013,710769.1519440529,24444.53541323269,-0.4602,-0.3548,-0.3128,0.0344,-0.6555,-0.3621,OK
LAB,P0,2026-01-14,73122.65348810708,119832.64413846617,192955.29762657324,-46709.99065035909,487075.2134081179,798213.7946689193,1285289.008077037,-311138.5812608014,-0.4306,-0.3381,-0.4885,-0.2421,,0.5915,OK
LAB,P0,2026-01-15,130122.28495580718,442411.9411260188,572534.226081826,-312289.6561702116,897791.3351810948,3052464.1298643453,3950255.46504544,-2154672.7946832506,-0.3411,-0.2749,-1.3652,-0.5455,-0.7396,48.2573,OK
LAB,P0,2026-04-14,1819778.218496054,1232089.3502453025,3051867.5687413565,587688.8682507514,3148661.255320161,2131815.8228182946,5280477.078138456,1016845.4325018665,0.2618,0.6294,1.5869,0.1926,38.0249,-0.7189,OK
LAB,P0,2026-01-18,282851.98883676575,815028.5750270089,1097880.5638637748,-532176.5861902431,1693288.4876155593,4879154.319708153,6572442.807323712,-3185865.8320925934,0.1617,-0.0924,-1.6268,-0.4847,4.6898,3.8363,OK
LAB,P0,2026-03-03,22025.058852028757,16942.49101515589,38967.54986718464,5082.567836872866,136647.13709985453,105114.03888247999,241761.17598233453,31533.098217374543,-0.807,-0.4802,0.1598,0.1304,-0.9319,,OK
LAB,P0,2026-03-25,69975.79269602765,22053.74694623524,92029.53964226288,47922.045749792414,354731.69304093823,111798.13319326,466529.82623419823,242933.55984767823,-0.7749,-0.4481,0.2818,0.5207,-0.9698,-0.9581,OK
LAB,P0,2025-11-21,76846.16933681793,110324.05253848687,187170.2218753048,-33477.88320166894,789145.1887657291,1132934.7450526995,1922079.9338184285,-343789.5562869704,-0.4954,-0.4157,0.0056,-0.1789,-0.8295,1.3934,OK
LAB,P0,2025-12-06,308729.802222778,267555.9042959797,576285.7065187576,41173.897926798265,3105621.1872324497,2691438.5302885002,5797059.71752095,414182.6569439494,-0.1598,-0.2801,0.2374,0.0714,13.7889,1.9866,OK
LAB,P0,2025-12-08,985624.2453742503,1027901.7272114562,2013525.9725857065,-42277.48183720582,9763295.876993526,10182083.83401475,19945379.711008273,-418787.9570212234,1.0597,0.4866,-0.0414,-0.021,20.8791,2.5169,OK
LAB,P0,2025-12-17,33644.850811687706,33635.96453411571,67280.81534580342,8.886277571997198,309554.42009870184,309472.66058917,619027.0806878719,81.75950953183929,-0.7937,-0.45,-0.0328,0.0001,-0.6405,-0.978,OK
LAB,P0,2025-12-27,123265.18447913598,113131.64292553265,236396.8274046686,10133.541553603325,1148661.7011996412,1054231.05454686,2202892.7557465015,94430.64665278117,-0.4654,-0.364,0.4065,0.0429,-0.5898,-0.7847,OK
LAB,P0,2026-02-21,38336.70610129093,74399.0594709723,112735.76557226322,-36062.35336968136,263370.2896449,511115.94695712003,774486.23660202,-247745.65731222002,-0.4846,-0.4263,-1.0891,-0.3199,-0.944,1.8931,OK
LAB,P0,2026-03-04,23648.61882266126,23646.93732041576,47295.55614307702,1.6815022455011785,130962.1368435521,130952.82496243001,261914.9618059821,9.311881122092018,-0.5916,-0.457,0.0489,0,-0.297,-0.4861,OK
LAB,P0,2026-03-28,12164.029554120252,19817.512629979465,31981.542184099715,-7653.4830758592125,59893.59387338007,97578.03101016999,157471.62488355004,-37684.437136789915,-0.6001,-0.4622,0.0331,-0.2393,-0.8647,-0.8291,OK
LAB,P0,2026-02-08,22386.880640820036,13025.84116747482,35412.72180829485,9361.039473345216,181202.79605021642,105433.12747862999,286635.9235288464,75769.66857158643,-0.5568,-0.4594,0.5034,0.2643,-0.6859,-0.9386,OK
